Company Name,Industry,Sector,HQ State,Founding Year,Annual Revenue 2022-2023 (USD in Billions),Market Cap (USD in Trillions),Stock Name,Annual Income Tax in 2022-2023 (USD in Billions),Employee Size
Apple Inc.,Technology,Consumer Electronics,California,1976,387.53,2.52,AAPL,18.314,164000
Microsoft Corporation,Technology,Software Infrastructure,Washington,1975,204.09,2.037,MSFT,15.139,221000
Alphabet (Google),Technology,Software Infrastructure,California,1998,282.83,1.35,GOOG,11.356,190234
Amazon,Technology,Software Application,Washington,1994,513.98,1.03,AMZN,-3.217,1541000
NVIDIA Corporation,Technology,Semiconductors,California,1993,26.97,0.653,NVDA,0.189,22473
Tesla,Technology,Software Infrastructure,Texas,2003,81.46,0.625,TSLA,1.132,127855
Meta Platforms,Technology,Software Infrastructure,California,2004,116.6,0.524,META,5.619,86482
Broadcom Inc.,Technology,Semiconductors,California,1961,34.41,0.266,AVGO,0.939,20000
Oracle Corporation,Technology,Software Infrastructure,Texas,1977,46.07,0.236,ORCL,0.932,143000
Cisco Systems Inc.,Technology,Communication Equipments,California,1984,53.16,0.208,CSCO,2.665,83300
Salesforce Inc.,Technology,Software Application,California,1999,31.35,0.189,CRM,0.452,73541
Adobe Inc.,Technology,Software Infrastructure,California,1982,17.6,0.172,ADBE,1.252,29239
Texas Instruments Inc.,Technology,Semiconductors,Texas,1930,20.02,0.162,TXN,1.283,33000
Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,California,1969,23.6,0.155,AMD,-0.122,25000
Qualcomm Inc.,Technology,Semiconductors,California,1985,42.95,0.138,QCOM,2.012,51000
Netflix,Technology,Software Application,California,1997,31.61,0.136,NFLX,0.772,12800
Intel Corporation,Technology,Semiconductors,California,1968,63.05,0.118,INTC,-0.249,131900
Intuit Inc.,Technology,Software Application,California,1983,13.68,0.118,INTU,0.476,17300
IBM Corporation,Technology,IT Services,New York,1911,60.52,0.113,IBM,-0.626,345000
Applied Materials Inc.,Technology,Semiconductors,California,1967,26.25,0.102,AMAT,1.074,33000
Booking Holdings,Technology,Software Application,Connecticut,1996,17.09,0.097,BKNG,0.865,20700
Analog Devices Inc.,Technology,Semiconductors,Massachusetts,1965,12.57,0.095,ADI,0.35,24450
ServiceNow Inc.,Technology,Software Application,California,2004,7.24,0.09,NOW,0.074,20433
Automatic Data Processing,Technology,Software Application,New Jersey,1949,16.67,0.09,ADP,0.855,60000
PayPal Holdings Inc.,Technology,Software Infrastructure,California,1998,27.51,0.087,PYPL,0.947,29900
Airbnb,Technology,Software Application,California,2008,8.39,0.078,ABNB,0.096,6132
Fiserv Inc.,Technology,IT Services,Wisconsin,1984,17.73,0.071,FISV,0.551,44000
Lam Research Corporation,Technology,Semiconductors,California,1980,19.04,0.069,LRCX,0.588,18700
Uber Technologies Inc.,Technology,Software Application,California,2009,31.87,0.066,UBER,-0.181,32500
Micron Technology,Technology,Semiconductors,Idaho,1978,27.15,0.064,MU,0.888,49000
